NUM_ANP	ID_ANP	ID_DOF	NOMBRE	CATEGORIA DE MANEJO	ESTADOS	REGION	SUPERFICIE	SUPERFICIE TERRESTRE	SUPERFICIE MARINA	PRIMER DECRETO	ÚLTIMA PUBLICACIÓN DE DECRETO	PROGRAMA DE MANEJO	CERTIFICADO SINAP	DESIGNACIONES INTERNACIONALES
54	ANP00101054	1.1.01.054	Complejo Lagunar Ojo de Liebre	Reserva de la Biosfera	Baja California y Baja California Sur	Península de Baja California y Pacífico Norte	79328.97663	79328.97663	0	1972-01-14	2000-06-07	2016-08-08	SINAP 038	UNESCO Patrimonio Mundial Natural (Santuario de Ballenas); UNESCO Reserva de la Biosfera MAB
55	ANP00107055	1.7.01.055	Cabo San Lucas	Área de Protección de Flora y Fauna	Baja California Sur	Península de Baja California y Pacífico Norte	3996.049136	208.0535	3787.995636	1973-11-29	2000-06-07			
56	ANP00801056	8.1.01.056	Montes Azules	Reserva de la Biosfera	Chiapas	Frontera Sur, Istmo y Pacífico Sur	331200	331200	0	1978-01-12	2000-06-07	2000-11-16	SINAP 005	UNESCO Reserva de la Biosfera MAB
57	ANP02107057	2.7.02.057	Islas del Golfo de California	Área de Protección de Flora y Fauna	B.C., B.C.S., Sonora y Sinaloa	Península de Baja California y Pacífico Norte; Noroeste y Alto Golfo de California	374553.6311	374553.6311	0	1978-08-02	2000-06-07	2001-04-17		UNESCO Patrimonio Mundial Natural (Serial)
58	ANP00806058	8.6.01.058	Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas	Área de Protección de Recursos Naturales	Chiapas	Frontera Sur, Istmo y Pacífico Sur	177546.1703	177546.1703	0	1979-03-20	2007-11-27	2019-04-24		
59	ANP00301059	3.1.01.059	La Michilía	Reserva de la Biosfera	Durango	Norte y Sierra Madre Occidental	35000	35000	0	1979-07-18	2000-06-07	2024-11-27	SINAP 029	UNESCO Reserva de la Biosfera MAB
60	ANP00401060	4.1.01.060	Mapimí	Reserva de la Biosfera	Durango, Chihuahua y Coahuila	Noreste y Sierra Madre Occidental	342387.9917	342387.9917	0	1979-07-19	2000-11-27	2006-10-24	SINAP 027	UNESCO Reserva de la Biosfera MAB
61	ANP00507061	5.7.02.061	La Primavera	Área de Protección de Flora y Fauna	Jalisco	Occidente y Pacífico Centro	30500	30500	0	1980-03-06	2000-06-07	2001-05-22		
62	ANP00807062	8.7.01.062	Cascada de Agua Azul	Área de Protección de Flora y Fauna	Chiapas	Frontera Sur, Istmo y Pacífico Sur	2580	2580	0	1980-04-29	2000-06-07	2017-05-22		
63	ANP00107063	1.7.02.063	Valle de los Cirios	Área de Protección de Flora y Fauna	Baja California	Península de Baja California y Pacífico Norte	2521987.61	2521987.61	0	1980-06-02	2000-06-07	2013-04-02	SINAP 066	
64	ANP00603064	6.3.23.064	El Veladero	Parque Nacional	Guerrero	Centro y Eje Neovolcánico	3617.41303	3617.41303	0	1980-07-17	2000-11-29			
65	ANP00503065	5.3.07.065	Isla Isabel	Parque Nacional	Nayarit	Occidente y Pacífico Centro	194.17	194.17	0	1980-12-08	1980-12-08	2006-06-16	SINAP 024	Ramsar
66	ANP00803066	8.3.04.066	Cañón del Sumidero	Parque Nacional	Chiapas	Frontera Sur, Istmo y Pacífico Sur	21789.419	21789.419	0	1980-12-08	1981-02-06			Ramsar
67	ANP00303067	3.3.02.067	Cascada de Bassaseachic	Parque Nacional	Chihuahua	Norte y Sierra Madre Occidental	5802.8513	5802.8513	0	1981-02-02	1981-02-02	2016-08-08	SINAP 052	
68	ANP00407068	4.7.01.068	Sierra de Álvarez	Área de Protección de Flora y Fauna	San Luis Potosí	Noreste y Sierra Madre Oriental	16900	16900	0	1981-04-07	2000-06-07			
69	ANP00903069	9.3.01.069	Tulum	Parque Nacional	Quintana Roo	Península de Yucatán y Caribe Mexicano	664.3213	664.3213	0	1981-04-23	1981-04-23	2024-01-12		Ramsar
70	ANP00603070	6.3.24.070	Tula	Parque Nacional	Hidalgo	Centro y Eje Neovolcánico	99.500286	99.500286	0	1981-05-27	1981-05-27			
71	ANP00803071	8.3.05.071	Palenque	Parque Nacional	Chiapas	Frontera Sur, Istmo y Pacífico Sur	1771.950122	1771.950122	0	1981-07-20	1981-07-20			
72	ANP00407072	4.7.02.072	Sierra La Mojonera	Área de Protección de Flora y Fauna	San Luis Potosí	Noreste y Sierra Madre Oriental	9201.5	9201.5	0	1981-08-13	2000-06-07	2015-06-05		
73	ANP00507073	5.7.03.073	El Jabalí	Área de Protección de Flora y Fauna	Colima	Occidente y Pacífico Centro	5178.56	5178.56	0	1981-08-14	2000-06-07			
74	ANP00603074	6.3.25.074	El Chico	Parque Nacional	Hidalgo	Centro y Eje Neovolcánico	2739.0263	2739.0263	0	1982-07-06	1982-07-06	2009-08-27		
75	ANP00603075	6.3.26.075	El Cimatario	Parque Nacional	Querétaro	Centro y Eje Neovolcánico	2447.874	2447.874	0	1982-07-21	1982-07-21			
76	ANP00507076	5.7.04.076	Sierra de Quila	Área de Protección de Flora y Fauna	Jalisco	Occidente y Pacífico Centro	15192.5	15192.5	0	1982-08-04	2000-06-07			
77	ANP00801077	8.1.02.077	Selva El Ocote	Reserva de la Biosfera	Chiapas	Frontera Sur, Istmo y Pacífico Sur	101288.1513	101288.1513	0	1982-10-20	2000-11-27	2001-12-19	SINAP 037	UNESCO Reserva de la Biosfera MAB
78	ANP00901078	9.1.01.078	Sian Ka'an	Reserva de la Biosfera	Quintana Roo	Península de Yucatán y Caribe Mexicano	528147.668	375011.87	153135.798	1986-01-20	2000-06-07	2015-01-23	SINAP 002	Ramsar; UNESCO Reserva de la Biosfera MAB; UNESCO Patrimonio Mundial Natural
79	ANP00508079	5.8.01.079	Playa Teopa	Santuario	Jalisco	Occidente y Pacífico Centro	30.80815	30.80815	0	1986-10-29	2022-12-24			
80	ANP00708080	7.8.01.080	Playa Rancho Nuevo	Santuario	Tamaulipas	Planicie Costera y Golfo de México	1843.823551	1843.823551	0	1986-10-29	2022-12-24	2024-07-31		
