anp_id,municipios_match,total_declaratorias_desastre,total_declaratorias_emergencia,poblacion_afectada_total,poblacion_atendida_total,costo_total_declaratorias_pesos,sectores_afectados,por_tipo_fenomeno,por_ano,eventos_detalle
playa_colola,Aquila,1,1,1133,1133,622142.64,Artísticos e Históricos; Carretero; Educativo; Hidráulico; Monumentos Arqueológicos; Naval y Salud,Geológico: 1D/0E; Hidrometeorológico: 0D/1E,"2019: 0D/1E pob:1,133 $0.6M; 2022: 1D/0E pob:0 $0.0M","[D 2022] Michoacán: Sismo magnitud 7.7 el 19 de septiembre de 2022 | [E 2019] Michoacán: Inundación fluvial el 29 y 30 de septiembre de 2019 por el huracán ""Narda"" (pob:1,133 $622,143)"
playa_el_tecuan,La Huerta,4,4,35000,35000,19237784.39,Carretero; Deportivo; Educativo; Hidráulico; Naval; Naval y Pesquero y Acuícola; Pesquero y Acuícola; Vial Urbano y Vivienda,Hidrometeorológico: 4D/4E,"2019: 2D/2E pob:8,591 $7.4M; 2020: 1D/1E pob:19,958 $7.4M; 2021: 1D/1E pob:6,451 $4.4M","[D 2019] Jalisco: Huracán Lorena (lluvia severa) el 18 de septiembre de 2019 | [D 2019] Jalisco: Tormenta Tropical Narda (Lluvia severa) ocurrida el día 29 de septiembre de 2019 | [D 2020] Jalisco: Lluvia severa del 27 al 28 de agosto de 2020 en 5 municipios y vientos fuertes e | [D 2021] Jalisco: Huracán (Lluvia severa), inundación fluvial y vientos fuertes el 28 y 29 de agos | [E 2019] Jalisco: Presencia huracán ""Lorena"" (Lluvia Severa) el 18 de septiembre de 2019 (pob:3,375 $4,566,250) | [E 2019] Jalisco: Inundación fluvial y pluvial el 29 de septiembre de 2019 por huracán ""Narda"" (pob:5,216 $2,856,960) | [E 2020] Jalisco: Lluvia severa y vientos fuertes los días 27 y 28 de agosto de 2020 (pob:19,958 $7,421,919) | [E 2021] Jalisco: Huracán categoría 1 ""Nora"" (lluvia severa y vientos fuerte) e inundación fluvial (pob:6,451 $4,392,655)"
playa_el_verde_camacho,Mazatlán,2,4,42491,42491,43907050.27,Carretero; Cultura; Educativo; Hidráulico; Naval y Pesquero y Acuícola,Hidrometeorológico: 2D/4E,"2019: 0D/2E pob:21,570 $24.8M; 2020: 1D/0E pob:0 $0.0M; 2021: 1D/2E pob:20,921 $19.1M","[D 2020] Sinaloa: Sequía severa del 1 de mayo al 30 de noviembre de 2020 | [D 2021] Sinaloa: Huracán “Nora” Categoría 1(Lluvia severa y vientos fuertes) del 28 y al 30 de ag | [E 2019] Sinaloa: Lluvia severa e inundación pluvial los días 21 y 22 de agosto de 2019 (pob:16,839 $23,188,625) | [E 2019] Sinaloa: Lluvia severa e inundación pluvial el 28 de noviembre de 2019 (pob:4,731 $1,624,958) | [E 2021] Sinaloa: Lluvia severa y vientos fuertes los días 28, 29 y 30 de agosto de 2021 (Huracán  (pob:7,969 $13,590,810) | [E 2021] Sinaloa: Presencia del huracán Pamela (lluvia severa y vientos fuertes) los días 12 y 13  (pob:12,952 $5,502,657)"
playa_escobilla,Santa María Tonameca,4,3,31632,31632,167159166.24,Carretero; Educativo; Hidráulico; Militar; Monumentos Arqueológicos; Naval; Naval y Turístico; Pesquero y Acuíola; Salud; Turístico; Vial Urbano y Vivienda; sin dato,Hidrometeorológico: 2D/1E; Geológico: 2D/1E; Incendio Forestal: 0D/1E,"2019: 1D/1E pob:5,507 $31.2M; 2020: 1D/1E pob:26,125 $136.0M; 2021: 0D/1E pob:0 $0.0M; 2022: 2D/0E pob:0 $0.0M","[D 2019] Oaxaca: Lluvia severa, inundación fluvial y pluvial ocurridas los días 28, 29 y 30 de se | [D 2020] Oaxaca: Sismo magnitud 7.4 el día 23 de junio de 2020 | [D 2022] Oaxaca: Lluvia severa, vientos fuertes, inundación pluvial e inundación fluvial del 29 a | [D 2022] Oaxaca: Movimiento de Ladera del 29 al 31 de mayo de 2022 | [E 2019] Oaxaca: Lluvia severa e inundación fluvial y pluvial el 28 y 29 de septiembre por el hur (pob:5,507 $31,196,865) | [E 2020] Oaxaca: Sismo de magnitud 7.4 (pob:26,125 $135,962,301) | [E 2021] Oaxaca: Incendios forestales del 23 de febrero al 5 de abril de 2021 (pob:0 $0)"
playa_maruata,Aquila,1,1,1133,1133,622142.64,Artísticos e Históricos; Carretero; Educativo; Hidráulico; Monumentos Arqueológicos; Naval y Salud,Geológico: 1D/0E; Hidrometeorológico: 0D/1E,"2019: 0D/1E pob:1,133 $0.6M; 2022: 1D/0E pob:0 $0.0M","[D 2022] Michoacán: Sismo magnitud 7.7 el 19 de septiembre de 2022 | [E 2019] Michoacán: Inundación fluvial el 29 y 30 de septiembre de 2019 por el huracán ""Narda"" (pob:1,133 $622,143)"
playa_mexiquillo,Aquila,1,1,1133,1133,622142.64,Artísticos e Históricos; Carretero; Educativo; Hidráulico; Monumentos Arqueológicos; Naval y Salud,Geológico: 1D/0E; Hidrometeorológico: 0D/1E,"2019: 0D/1E pob:1,133 $0.6M; 2022: 1D/0E pob:0 $0.0M","[D 2022] Michoacán: Sismo magnitud 7.7 el 19 de septiembre de 2022 | [E 2019] Michoacán: Inundación fluvial el 29 y 30 de septiembre de 2019 por el huracán ""Narda"" (pob:1,133 $622,143)"
playa_mismaloya,Cabo Corrientes; Tomatlán,4,4,35000,35000,19237784.39,Carretero; Deportivo; Educativo; Hidráulico; Naval; Naval y Pesquero y Acuícola; Pesquero y Acuícola; Vial Urbano y Vivienda,Hidrometeorológico: 4D/4E,"2019: 2D/2E pob:8,591 $7.4M; 2020: 1D/1E pob:19,958 $7.4M; 2021: 1D/1E pob:6,451 $4.4M","[D 2019] Jalisco: Huracán Lorena (lluvia severa) el 18 de septiembre de 2019 | [D 2019] Jalisco: Tormenta Tropical Narda (Lluvia severa) ocurrida el día 29 de septiembre de 2019 | [D 2020] Jalisco: Lluvia severa del 27 al 28 de agosto de 2020 en 5 municipios y vientos fuertes e | [D 2021] Jalisco: Huracán (Lluvia severa), inundación fluvial y vientos fuertes el 28 y 29 de agos | [E 2019] Jalisco: Presencia huracán ""Lorena"" (Lluvia Severa) el 18 de septiembre de 2019 (pob:3,375 $4,566,250) | [E 2019] Jalisco: Inundación fluvial y pluvial el 29 de septiembre de 2019 por huracán ""Narda"" (pob:5,216 $2,856,960) | [E 2020] Jalisco: Lluvia severa y vientos fuertes los días 27 y 28 de agosto de 2020 (pob:19,958 $7,421,919) | [E 2021] Jalisco: Huracán categoría 1 ""Nora"" (lluvia severa y vientos fuerte) e inundación fluvial (pob:6,451 $4,392,655)"
playa_piedra_de_tlacoyunque,Técpan de Galeana,3,4,46272,46272,96444556.73,Carretero; Educativo; Hidráulico; Hidráulico y Naval; Naval; Naval y Turístico; Pesquero y Acuícola; Salud; Vial Urbano y Vivienda,Hidrometeorológico: 3D/4E,"2019: 1D/1E pob:17,351 $51.5M; 2020: 0D/1E pob:9,901 $20.1M; 2021: 1D/1E pob:7,020 $14.1M; 2023: 1D/1E pob:12,000 $10.8M","[D 2019] Guerrero: Lluvia severa e inundación fluvial y pluvial del 28 al 29 de septiembre de 2019 | [D 2021] Guerrero: Lluvia severa, vientos fuertes, inundación fluvial e inundación pluvial del24 al | [D 2023] Guerrero: Lluvia severa, inundación fluvial y pluvial del 9 al 11 de octubre de 2023 | [E 2019] Guerrero: Lluvia severa e inundación fluvial y pluvial el 28 y 29 de septiembre de 2019 po (pob:17,351 $51,463,968) | [E 2020] Guerrero: Lluvia severa e inundación pluvial y fluvial del 24 al 27 de agosto de 2020 (TT  (pob:9,901 $20,119,664) | [E 2021] Guerrero: Lluvia severa, vientos fuertes e inundación fluvial y pluvial los días 24 y 25 d (pob:7,020 $14,104,004) | [E 2023] Guerrero: Lluvia severa ocurrida el 09 de octubre de 2023 (pob:12,000 $10,756,920)"
playa_puerto_arista,Tonalá,0,1,181437,181437,20298687.62,,Incendio Forestal: 0D/1E,"2019: 0D/1E pob:181,437 $20.3M","[E 2019] Chiapas: Incendios forestales del 15 al 26 de abril de 2020 (pob:181,437 $20,298,688)"
playa_rancho_nuevo,Aldama,0,1,600,600,11706338.97,,Hidrometeorológico: 0D/1E,2019: 0D/1E pob:600 $11.7M,"[E 2019] Tamaulipas: Lluvia severa e inundación fluvial el 23 de octubre de 2019 (pob:600 $11,706,339)"
